Ref,Val,Package,PosX,PosY,Rot,Side
C1,47u,C_1206,25.4046,7.8708,0,top
C2,47u,C_1206,44.2006,7.8708,0,top
C3,47u,C_1206,34.8026,7.8708,0,top
C4,15p,C_0603,54.1066,25.6508,0,top
C5,47u,C_1210,11.8646,8.3728,0,top
C6,15p,C_0603,54.1066,31.4928,180,top
C8,10n,C_0603,50.5506,28.9528,270,top
C10,100n,C_0603,52.0746,28.9528,270,top
C11,10n,C_0603,44.3276,22.2218,180,top
C12,100n,C_0603,44.3276,20.6978,180,top
C13,1u,C_0603,31.5006,30.3498,270,top
C14,100n,C_0603,28.4526,40.3828,270,top
C15,100n,C_0603,26.8016,40.3828,270,top
C16,15p,C_0603,26.8016,43.8118,270,top
C17,1u,C_0603,26.4206,27.0478,270,top
C18,680p,C_0603,9.4026,11.9348,90,top
C19,22u,C_0603,40.6446,10.6648,90,top
C20,22u,C_0603,31.2466,10.6648,90,top
C21,1u,C_0603,26.1666,10.6648,0,top
C22,1u,C_0603,49.7886,9.1408,90,top
C23,10u,C_0603,15.4986,10.9188,90,top
C24,1u,C_0603,9.4026,32.0008,270,top
C25,680p,C_0603,51.5666,15.2368,90,top
C26,22u,C_0603,17.7846,10.9188,90,top
C27,1u,C_0603,25.9126,16.2528,0,top
C28,1u,C_0603,55.6306,10.6648,270,top
C29,100n,C_0603,42.4226,15.4908,0,top
C30,100n,C_0603,33.0246,15.4908,0,top
C31,100n,C_0603,47.7566,10.6648,270,top
C32,100n,C_0603,38.3586,10.6648,270,top
C33,680p,C_0603,9.4026,18.2848,90,top
C34,680p,C_0603,9.4026,24.3808,90,top
D3,RED,LED_0603,43.6926,50.0348,0,top
D5,BLUE,LED_0603,40.8986,44.4468,90,top
J2,USB_OTG,USB_Micro-B_Molex-105017-0001,54.8686,39.1128,90,top
L1,15n,L_0603,28.4526,43.6848,90,top
Q1,MMBT3904,SOT-23,28.8336,30.6038,90,top
Q2,PMV160UP,SOT-23,46.9946,44.7008,0,top
R1,24k,R_0603,36.5806,36.3188,180,top
R2,33,R_0603,49.2806,40.1288,180,top
R3,33,R_0603,49.2806,38.6048,180,top
R4,1k5,R_0603,49.2806,41.6528,180,top
R5,24k,R_0603,37.8506,34.7948,0,top
R6,1k,R_0603,28.8336,26.2858,0,top
R7,10k,R_0603,28.8336,27.9368,180,top
R8,10k,R_0603,29.5956,33.1438,0,top
R9,2k2,R_0603,30.2306,41.9068,270,top
R10,10k,R_0603,49.2646,37.0728,180,top
R11,2k,R_0603,11.9426,21.5868,180,top
R12,2k,R_0603,54.6146,23.8728,180,top
R13,330,R_0603,7.6246,30.2228,270,top
R14,330,R_0603,7.6246,36.3188,270,top
R15,330,R_0603,47.5026,48.7648,180,top
R16,330,R_0603,7.6246,42.6688,270,top
R17,22k,R_0603,51.5666,18.2848,270,top
R18,10k,R_0603,44.2006,44.7008,270,top
R19,300,R_0603,19.8166,10.6648,270,top
R20,1k,R_0603,21.5946,10.6648,90,top
R21,330,R_0603,39.3746,44.4468,90,top
R22,3k3,R_0603,26.1666,20.3168,0,top
R23,3k3,R_0603,26.1666,18.7928,0,top
SW4,RST,SW_SPST_KMR2,54.1066,16.5068,270,top
U1,LPC1343,LQFP-48_7x7mm_Pitch0.5mm,44.3276,28.5718,180,top
U2,AZ1117-ADJ,SOT-223,17.7846,4.8228,270,top
U3,BTM625,BTM6xx,17.7846,37.8428,0,top
U5,MIC5504-3.3YM5,SOT-23-5,26.4206,13.4588,90,top
U6,MIC5504-1.8YM5,SOT-23-5,52.8366,9.9028,0,top
U7,TFA9879,QFN-24-1EP_4x4mm_Pitch0.5mm,44.2006,11.9348,0,top
U8,TFA9879,QFN-24-1EP_4x4mm_Pitch0.5mm,34.8026,11.9348,0,top
Y1,12MHz,Crystal_SMD_Abracon_ABM8G-4pin_3.2x2.5mm,54.4876,28.5718,270,top
